Name  ,Metric,Value
Kevin Durant ,FTA,7.1
Kevin Martin ,FTA,10.3
Al Jefferson ,FTA,5.0
Chris Paul ,FTA,6.7
Carmelo Anthony ,FTA,7.1
Chris Bosh ,FTA,8.0
Brandon Roy ,FTA,6.5
Antawn Jamison ,FTA,5.6
Tony Parker ,FTA,5.0
Amare Stoudemire ,FTA,7.3
Joe Johnson ,FTA,4.6
Devin Harris ,FTA,8.8
Michael Redd ,FTA,4.9
David West ,FTA,5.5
Zachary Randolph ,FTA,4.9
Caron Butler ,FTA,6.0
Vince Carter ,FTA,5.1
Stephen Jackson ,FTA,6.0
Ben Gordon ,FTA,4.7
Dwight Howard ,FTA,10.7
Paul Pierce ,FTA,6.8
Al Harrington ,FTA,4.0
Jamal Crawford ,FTA,5.3
Yao Ming ,FTA,5.7
Richard Jefferson ,FTA,6.3
Jason Terry ,FTA,3.0
Deron Williams ,FTA,5.6
Tim Duncan ,FTA,6.4
Monta Ellis ,FTA,3.8
Rudy Gay ,FTA,4.4
Pau Gasol ,FTA,5.4
Andre Iguodala ,FTA,6.4
Corey Maggette ,FTA,8.1
O.J. Mayo ,FTA,3.4
John Salmons ,FTA,4.4
Richard Hamilton ,FTA,3.9
Ray Allen ,FTA,3.2
LaMarcus Aldridge ,FTA,4.1
Josh Howard ,FTA,4.2
Maurice Williams ,FTA,2.8
Shaquille O'neal ,FTA,6.9
Rashard Lewis ,FTA,3.4
Chauncey Billups ,FTA,5.8
Allen Iverson ,FTA,6.1
Nate Robinson ,FTA,4.0
Dwyane Wade ,FTP,0.765
LeBron James ,FTP,0.78
Kobe Bryant ,FTP,0.856
Dirk Nowitzki ,FTP,0.89
Danny Granger ,FTP,0.878
Kevin Durant ,FTP,0.863
Kevin Martin ,FTP,0.867
Al Jefferson ,FTP,0.738
Chris Paul ,FTP,0.868
Carmelo Anthony ,FTP,0.793
Chris Bosh ,FTP,0.817
Brandon Roy ,FTP,0.824
Antawn Jamison ,FTP,0.754
Tony Parker ,FTP,0.782
Amare Stoudemire ,FTP,0.835
Joe Johnson ,FTP,0.826
Devin Harris ,FTP,0.82
Michael Redd ,FTP,0.814
David West ,FTP,0.884
Zachary Randolph ,FTP,0.734
Caron Butler ,FTP,0.858
Vince Carter ,FTP,0.817
Stephen Jackson ,FTP,0.826
Ben Gordon ,FTP,0.864
Dwight Howard ,FTP,0.594
Paul Pierce ,FTP,0.83
Al Harrington ,FTP,0.793
